filepath,filename,label,screen_source,screen_type,image_width,image_height,focal_length_35mm_eq,f_number,exposure_time,shutter_speed_value,iso,metering_mode,device_model,device_make,lens_model,datetime_original,orientation,flash
data/authentic/CRW_2952-Enhanced-NR.jpeg,CRW_2952-Enhanced-NR.jpeg,authentic,none,none,2304,3072,35,2.8,0.0058823529411764705,7.409390994733329,1600,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:24 06:26:12,1,16
data/authentic/CRW_2962-Enhanced-NR.jpeg,CRW_2962-Enhanced-NR.jpeg,authentic,none,none,3072,2304,35,2.8,0.011111111111111112,6.491853007453631,1600,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:24 06:37:17,1,16
data/authentic/CRW_2996.jpeg,CRW_2996.jpeg,authentic,none,none,3072,2304,42,8.4,0.0011111111111111111,9.813781003269797,1600,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:25 08:21:49,1,16
data/authentic/CRW_3011.jpeg,CRW_3011.jpeg,authentic,none,none,2304,3072,60,10.0,0.006666666666666667,7.228818998716303,1600,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:25 09:54:35,1,16
data/authentic/CRW_3100.jpeg,CRW_3100.jpeg,authentic,none,none,2304,3072,105,5.0,0.0011111111111111111,9.813781003269797,1600,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:26 06:44:40,1,16
data/authentic/CRW_3104.jpeg,CRW_3104.jpeg,authentic,none,none,2280,3040,105,5.0,0.002702702702702703,8.531381003713019,1600,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:26 06:46:44,1,16
data/authentic/CRW_3107.jpeg,CRW_3107.jpeg,authentic,none,none,2304,3072,87,13.0,0.0007142857142857143,10.451210992081975,1600,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:26 06:50:59,1,16
data/authentic/CRW_3129.jpeg,CRW_3129.jpeg,authentic,none,none,2304,3072,51,3.3,0.004347826086956522,7.845490000829806,1600,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:26 07:02:10,1,16
data/authentic/CRW_3131.jpeg,CRW_3131.jpeg,authentic,none,none,2304,3072,87,4.5,0.005555555555555556,7.491853007453631,1600,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:26 07:02:42,1,16
data/authentic/CRW_3134.jpeg,CRW_3134.jpeg,authentic,none,none,2304,3072,73,4.1,0.011111111111111112,6.491853007453631,1600,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2024:12:26 07:26:20,1,16
data/authentic/CRW_3186.jpeg,CRW_3186.jpeg,authentic,none,none,3072,2304,60,3.6,0.00909090909090909,6.78136,1600,5,Canon DIGITAL IXUS 70,Canon,5.8-17.4 mm f/2.8-4.9,2025:01:31 22:57:27,1,16
data/authentic/EDD215F1-E1EF-4554-BACC-940840F866AF.jpeg,EDD215F1-E1EF-4554-BACC-940840F866AF.jpeg,authentic,none,none,1284,2282,14,2.4,0.017241379310344827,5.864890710382514,200,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 1.54mm f/2.4,2025:10:03 18:33:50,1,0
data/authentic/IMG_0205.jpeg,IMG_0205.jpeg,authentic,none,none,3024,4032,174,1.6,0.008264462809917356,6.923665289888328,40,3,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2023:12:25 12:07:10,1,16
data/authentic/IMG_0214.jpeg,IMG_0214.jpeg,authentic,none,none,5712,4284,26,1.6,0.030303030303030304,5.058605174353206,640,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2023:12:27 12:04:47,6,16
data/authentic/IMG_0218.jpeg,IMG_0218.jpeg,authentic,none,none,4230,5413,26,1.6,0.03333333333333333,4.908897338403042,800,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2023:12:27 14:22:20,1,16
data/authentic/IMG_0221.jpeg,IMG_0221.jpeg,authentic,none,none,4273,5712,26,1.6,0.02631578947368421,5.230857933579336,500,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2023:12:27 14:44:01,1,16
data/authentic/IMG_0222.jpeg,IMG_0222.jpeg,authentic,none,none,4032,3024,14,2.4,0.030303030303030304,5.058845600650366,800,5,iPhone 15,Apple,iPhone 15 back dual wide camera 1.54mm f/2.4,2023:12:28 17:09:22,1,16
data/authentic/IMG_1192.jpeg,IMG_1192.jpeg,authentic,none,none,4032,3024,39,1.6,0.000651890482398957,10.582840424855307,32,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:05:11 16:29:06,6,16
data/authentic/IMG_1201.jpeg,IMG_1201.jpeg,authentic,none,none,2824,3765,26,1.6,0.5,1.2288310895588186,2500,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:10 21:12:16,1,16
data/authentic/IMG_1333.jpeg,IMG_1333.jpeg,authentic,none,none,4032,3024,136,1.6,0.0017889087656529517,9.126630902708788,32,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:22 19:05:03,6,16
data/authentic/IMG_1340.jpeg,IMG_1340.jpeg,authentic,none,none,4032,3024,41,1.6,0.04,4.643747989850981,500,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:22 21:02:00,6,16
data/authentic/IMG_1342.jpeg,IMG_1342.jpeg,authentic,none,none,4032,3024,49,1.6,0.058823529411764705,4.059158207797246,800,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:22 21:03:05,6,16
data/authentic/IMG_1345.jpeg,IMG_1345.jpeg,authentic,none,none,4032,3024,62,1.6,0.003289473684210526,8.249451811632035,32,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:23 13:33:51,6,16
data/authentic/IMG_1348.jpeg,IMG_1348.jpeg,authentic,none,none,5712,4284,44,1.6,0.0006289308176100629,10.634652363121141,50,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:23 13:36:15,6,16
data/authentic/IMG_1349.jpeg,IMG_1349.jpeg,authentic,none,none,5712,4284,39,1.6,0.0019342359767891683,9.014942649689571,50,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:23 13:38:43,6,16
data/authentic/IMG_1354.jpeg,IMG_1354.jpeg,authentic,none,none,5712,4284,26,1.6,0.0017605633802816902,9.14938937801761,50,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:23 13:52:16,6,16
data/authentic/IMG_1424.jpeg,IMG_1424.jpeg,authentic,none,none,3024,4032,14,2.4,0.006060606060606061,7.369087619539933,25,5,iPhone 15,Apple,iPhone 15 back dual wide camera 1.54mm f/2.4,2024:05:23 15:29:46,1,16
data/authentic/IMG_1439.jpeg,IMG_1439.jpeg,authentic,none,none,4032,3024,145,1.6,0.00510204081632653,7.612743348796638,32,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:23 19:52:06,6,16
data/authentic/IMG_1448.jpeg,IMG_1448.jpeg,authentic,none,none,5712,4284,26,1.6,0.008695652173913044,6.843608568842401,125,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:23 20:19:38,6,16
data/authentic/IMG_1453.jpeg,IMG_1453.jpeg,authentic,none,none,4032,3024,70,1.6,0.1111111111111111,3.184516383216232,500,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:23 21:01:49,6,16
data/authentic/IMG_1471.jpeg,IMG_1471.jpeg,authentic,none,none,5712,4284,26,1.6,0.02040816326530612,5.615145603005997,100,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:24 16:16:31,6,16
data/authentic/IMG_1474.jpeg,IMG_1474.jpeg,authentic,none,none,4032,3024,124,1.6,0.02040816326530612,5.615145603005997,50,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:24 16:17:01,6,16
data/authentic/IMG_1476.jpeg,IMG_1476.jpeg,authentic,none,none,4032,3024,178,1.6,0.02,5.64392832423287,40,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:24 16:17:10,6,16
data/authentic/IMG_1480.jpeg,IMG_1480.jpeg,authentic,none,none,4032,3024,14,2.4,0.02040816326530612,5.615711422845691,400,5,iPhone 15,Apple,iPhone 15 back dual wide camera 1.54mm f/2.4,2024:05:24 16:21:04,6,16
data/authentic/IMG_1481.jpeg,IMG_1481.jpeg,authentic,none,none,4032,3024,83,1.6,0.02040816326530612,5.615145603005997,64,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:24 16:21:52,6,16
data/authentic/IMG_1484.jpeg,IMG_1484.jpeg,authentic,none,none,4032,3024,87,1.6,0.02,5.64392832423287,64,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:24 16:24:28,6,16
data/authentic/IMG_1495.jpeg,IMG_1495.jpeg,authentic,none,none,4032,3024,106,1.6,0.0013477088948787063,9.53496378962365,32,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:24 18:27:47,6,16
data/authentic/IMG_1529.jpeg,IMG_1529.jpeg,authentic,none,none,4135,5513,38,1.6,0.000791765637371338,10.30221195113899,50,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:25 15:56:06,1,16
data/authentic/IMG_1537.jpeg,IMG_1537.jpeg,authentic,none,none,4032,3024,14,2.4,0.02564102564102564,5.296870942612308,1250,5,iPhone 15,Apple,iPhone 15 back dual wide camera 1.54mm f/2.4,2024:05:25 20:17:01,6,16
data/authentic/IMG_1541.jpeg,IMG_1541.jpeg,authentic,none,none,3024,4032,14,2.4,0.03333333333333333,4.911326486330102,1000,5,iPhone 15,Apple,iPhone 15 back dual wide camera 1.54mm f/2.4,2024:05:25 20:17:35,1,16
data/authentic/IMG_1575.jpeg,IMG_1575.jpeg,authentic,none,none,4032,3024,25,1.6,0.025,5.321985803799523,400,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:05:17 18:18:27,6,16
data/authentic/IMG_1579.jpeg,IMG_1579.jpeg,authentic,none,none,3024,4032,26,1.6,0.025,5.321985803799523,500,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back dual wide camera 5.1mm f/1.6,2025:05:17 18:18:50,1,16
data/authentic/IMG_15792.jpeg,IMG_15792.jpeg,authentic,none,none,5712,4284,35,1.6,0.0008110300081103001,10.268010466922888,50,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:26 13:39:18,6,16
data/authentic/IMG_1612.jpeg,IMG_1612.jpeg,authentic,none,none,4032,3024,62,1.6,0.04,4.643747989850981,320,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:26 21:19:38,6,16
data/authentic/IMG_1721.jpeg,IMG_1721.jpeg,authentic,none,none,4032,3024,97,1.6,0.000859106529209622,10.18505424844569,32,5,iPhone 15,Apple,iPhone 15 back dual wide camera 5.96mm f/1.6,2024:05:27 19:07:26,6,16
data/authentic/IMG_2189.jpeg,IMG_2189.jpeg,authentic,none,none,4032,3024,25,1.6,0.03333333333333333,4.906905020275287,640,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:05:24 18:19:01,6,16
data/authentic/IMG_2248.jpeg,IMG_2248.jpeg,authentic,none,none,4032,3024,64,2.2,0.010752688172043012,6.543147602048735,200,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 7.5mm f/2.2,2025:05:26 20:43:18,6,16
data/authentic/IMG_2329.jpeg,IMG_2329.jpeg,authentic,none,none,4032,3024,33,1.6,0.030303030303030304,5.058749427393495,400,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:06:01 01:25:05,6,16
data/authentic/IMG_2358.jpeg,IMG_2358.jpeg,authentic,none,none,4032,3024,64,2.2,0.010101010101010102,6.630501132224082,100,3,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 7.5mm f/2.2,2025:06:01 19:00:10,6,16
data/authentic/IMG_2386.jpeg,IMG_2386.jpeg,authentic,none,none,4032,3024,64,2.2,0.00847457627118644,6.882741162643522,32,3,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 7.5mm f/2.2,2025:06:01 20:20:16,6,16
data/authentic/IMG_2407.jpeg,IMG_2407.jpeg,authentic,none,none,4032,3024,17,2.4,0.004975124378109453,7.648769712216972,25,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 1.54mm f/2.4,2025:06:03 19:34:37,6,16
data/authentic/IMG_2483.jpeg,IMG_2483.jpeg,authentic,none,none,4032,3024,25,1.6,0.0009633911368015414,10.020176582128466,32,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:06:07 11:19:27,6,16
data/authentic/IMG_270EF0F2-EC0B-40EC-B0A6-05E0AFF17749.JPEG,IMG_270EF0F2-EC0B-40EC-B0A6-05E0AFF17749.JPEG,authentic,none,none,4032,3024,25,1.6,0.025,5.321985803799523,640,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:09:25 18:02:53,6,16
data/authentic/IMG_2765.jpeg,IMG_2765.jpeg,authentic,none,none,4032,3024,64,2.2,0.01,6.645155203321068,80,3,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 7.5mm f/2.2,2025:06:19 21:05:24,6,16
data/authentic/IMG_2856.jpeg,IMG_2856.jpeg,authentic,none,none,4032,3024,64,2.2,0.01,6.645155203321068,50,3,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 7.5mm f/2.2,2025:06:22 21:56:04,6,16
data/authentic/IMG_2857.jpeg,IMG_2857.jpeg,authentic,none,none,4032,3024,64,2.2,0.01,6.645155203321068,64,3,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 7.5mm f/2.2,2025:06:22 21:56:18,6,16
data/authentic/IMG_2865.jpeg,IMG_2865.jpeg,authentic,none,none,4032,3024,24,2.2,0.02,5.6440726115735345,200,5,iPhone 14 Pro Max,Apple,iPhone 14 Pro Max back triple camera 2.22mm f/2.2,2025:06:22 20:12:41,1,16
data/authentic/IMG_2987.jpeg,IMG_2987.jpeg,authentic,none,none,4032,3024,24,1.78,0.02,5.6436397939191645,800,5,iPhone 14 Pro Max,Apple,iPhone 14 Pro Max back triple camera 6.86mm f/1.78,2025:08:01 21:55:56,3,16
data/authentic/IMG_3008.jpeg,IMG_3008.jpeg,authentic,none,none,4032,3024,24,2.2,0.017241379310344827,5.8625384476207705,1250,5,iPhone 14 Pro Max,Apple,iPhone 14 Pro Max back triple camera 2.22mm f/2.2,2025:08:02 08:12:39,3,16
data/authentic/IMG_3024.jpeg,IMG_3024.jpeg,authentic,none,none,4032,3024,24,1.78,0.016666666666666666,5.914760286900718,640,5,iPhone 14 Pro Max,Apple,iPhone 14 Pro Max back triple camera 6.86mm f/1.78,2025:08:02 08:22:57,1,16
data/authentic/IMG_3025.jpeg,IMG_3025.jpeg,authentic,none,none,4032,3024,14,2.4,0.041666666666666664,4.585331873818291,1600,5,iPhone 11 Pro Max,Apple,iPhone 11 Pro Max back triple camera 1.54mm f/2.4,2021:10:28 19:11:50,6,16
data/authentic/IMG_3033.jpeg,IMG_3033.jpeg,authentic,none,none,4032,3024,24,1.78,0.016666666666666666,5.914760286900718,320,5,iPhone 14 Pro Max,Apple,iPhone 14 Pro Max back triple camera 6.86mm f/1.78,2025:08:02 09:30:25,6,16
data/authentic/IMG_3036.jpeg,IMG_3036.jpeg,authentic,none,none,4032,3024,24,1.78,0.016666666666666666,5.915630897377497,320,5,iPhone 14 Pro Max,Apple,iPhone 14 Pro Max back triple camera 6.86mm f/1.78,2025:08:02 09:37:58,1,16
data/authentic/IMG_3040.jpeg,IMG_3040.jpeg,authentic,none,none,4032,3024,24,2.2,0.016666666666666666,5.914847331209696,500,5,iPhone 14 Pro Max,Apple,iPhone 14 Pro Max back triple camera 2.22mm f/2.2,2025:08:02 10:00:27,8,16
data/authentic/IMG_3043.jpeg,IMG_3043.jpeg,authentic,none,none,4032,3024,24,2.2,0.009259259259259259,6.7483984424067325,40,5,iPhone 14 Pro Max,Apple,iPhone 14 Pro Max back triple camera 2.22mm f/2.2,2025:08:02 10:02:20,6,16
data/authentic/IMG_3070.jpeg,IMG_3070.jpeg,authentic,none,none,4032,3024,24,1.78,0.025,5.326841606070187,1000,5,iPhone 14 Pro Max,Apple,iPhone 14 Pro Max back triple camera 6.86mm f/1.78,2025:08:03 07:20:22,1,16
data/authentic/IMG_3166.jpeg,IMG_3166.jpeg,authentic,none,none,4032,3024,14,2.4,0.01,6.64573291749362,250,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 1.54mm f/2.4,2025:07:06 16:13:31,6,16
data/authentic/IMG_3168.jpeg,IMG_3168.jpeg,authentic,none,none,4032,3024,25,1.6,0.02,5.643567676316084,160,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:07:06 16:14:03,6,16
data/authentic/IMG_3221.jpeg,IMG_3221.jpeg,authentic,none,none,4032,3024,24,2.2,0.016666666666666666,5.9186821936896585,320,5,iPhone 14 Pro Max,Apple,iPhone 14 Pro Max back triple camera 2.22mm f/2.2,2025:09:12 16:54:50,1,16
data/authentic/IMG_3224.jpeg,IMG_3224.jpeg,authentic,none,none,4032,3024,25,1.6,0.00046189376443418013,11.079819538434842,32,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:07:06 17:31:30,6,16
data/authentic/IMG_3238.jpeg,IMG_3238.jpeg,authentic,none,none,4032,3024,24,2.2,0.016666666666666666,5.915630897377497,320,5,iPhone 14 Pro Max,Apple,iPhone 14 Pro Max back triple camera 2.22mm f/2.2,2025:09:13 07:56:37,1,16
data/authentic/IMG_3247.jpeg,IMG_3247.jpeg,authentic,none,none,4032,3024,14,2.4,0.00072992700729927,10.419815917704385,25,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 1.54mm f/2.4,2025:07:06 18:18:50,6,16
data/authentic/IMG_3289.jpeg,IMG_3289.jpeg,authentic,none,none,4032,3024,24,1.78,0.00980392156862745,6.66741922927209,250,5,iPhone 14 Pro Max,Apple,iPhone 14 Pro Max back triple camera 6.86mm f/1.78,2025:09:15 15:05:04,1,16
data/authentic/IMG_3299.jpeg,IMG_3299.jpeg,authentic,none,none,4032,3024,24,2.2,0.010101010101010102,6.631073005975578,160,5,iPhone 14 Pro Max,Apple,iPhone 14 Pro Max back triple camera 2.22mm f/2.2,2025:09:15 15:34:38,8,16
data/authentic/IMG_3303.jpeg,IMG_3303.jpeg,authentic,none,none,4032,3024,64,2.2,0.007751937984496124,7.007869692532943,20,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 7.5mm f/2.2,2025:07:06 18:50:44,6,16
data/authentic/IMG_3306.jpeg,IMG_3306.jpeg,authentic,none,none,4032,3024,24,2.2,0.016666666666666666,5.914847331209696,1000,5,iPhone 14 Pro Max,Apple,iPhone 14 Pro Max back triple camera 2.22mm f/2.2,2025:09:15 16:49:29,1,16
data/authentic/IMG_3312.jpeg,IMG_3312.jpeg,authentic,none,none,4032,3024,25,1.6,0.00016,12.609640476860978,32,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:07:06 19:08:15,6,16
data/authentic/IMG_3320.jpeg,IMG_3320.jpeg,authentic,none,none,1980,3520,32,1.78,0.0009398496240601503,10.055051623960205,80,5,iPhone 14 Pro Max,Apple,iPhone 14 Pro Max back triple camera 6.86mm f/1.78,2025:09:18 10:14:19,1,16
data/authentic/IMG_3332.jpeg,IMG_3332.jpeg,authentic,none,none,4032,3024,14,2.4,0.00129366106080207,9.595062009329844,20,5,iPhone 11 Pro Max,Apple,iPhone 11 Pro Max back triple camera 1.54mm f/2.4,2021:12:22 15:42:55,6,16
data/authentic/IMG_3889.jpeg,IMG_3889.jpeg,authentic,none,none,4032,3024,25,1.6,0.001455604075691412,9.424765131680271,32,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:07:07 14:50:38,6,16
data/authentic/IMG_4300.jpeg,IMG_4300.jpeg,authentic,none,none,4032,3024,71,2.2,0.030303030303030304,5.058845600650366,640,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 7.5mm f/2.2,2025:07:09 11:06:27,6,16
data/authentic/IMG_4302.jpeg,IMG_4302.jpeg,authentic,none,none,4032,3024,25,1.6,0.001669449081803005,9.22593618732684,50,3,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:07:09 11:08:36,6,16
data/authentic/IMG_4331.jpeg,IMG_4331.jpeg,authentic,none,none,4032,3024,14,2.4,0.0005630630630630631,10.794577457089757,25,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 1.54mm f/2.4,2025:07:09 18:20:33,6,16
data/authentic/IMG_4602.jpeg,IMG_4602.jpeg,authentic,none,none,4032,3024,20,2.4,0.02,5.644289067083903,250,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 1.54mm f/2.4,2025:07:17 19:34:18,6,16
data/authentic/IMG_4603.jpeg,IMG_4603.jpeg,authentic,none,none,4032,3024,25,1.6,0.02,5.643567676316084,250,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:07:17 19:34:23,6,16
data/authentic/IMG_4699.jpeg,IMG_4699.jpeg,authentic,none,none,4032,3024,25,1.6,0.02,5.643567676316084,125,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:07:22 11:12:39,6,16
data/authentic/IMG_5048.jpeg,IMG_5048.jpeg,authentic,none,none,4032,3024,14,2.4,0.010101010101010102,6.633792506821055,100,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 1.54mm f/2.4,2025:08:10 16:20:07,6,16
data/authentic/IMG_5228.jpeg,IMG_5228.jpeg,authentic,none,none,4032,3024,25,1.6,0.0012224938875305623,9.676540004720321,32,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:08:19 19:00:17,6,16
data/authentic/IMG_5230.jpeg,IMG_5230.jpeg,authentic,none,none,4032,3024,64,2.2,0.004032258064516129,7.954646501457726,20,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 7.5mm f/2.2,2025:08:19 19:00:23,6,16
data/authentic/IMG_5233.jpeg,IMG_5233.jpeg,authentic,none,none,4032,3024,14,2.4,0.005263157894736842,7.566613191052148,25,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 1.54mm f/2.4,2025:08:19 19:01:18,6,16
data/authentic/IMG_5300.jpeg,IMG_5300.jpeg,authentic,none,none,4032,3024,155,2.2,0.0044444444444444444,7.812627498980008,32,3,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 7.5mm f/2.2,2025:08:21 20:04:24,6,16
data/authentic/IMG_5610.jpeg,IMG_5610.jpeg,authentic,none,none,4032,3024,25,1.6,0.012345679012345678,6.334214320038443,125,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:09:10 17:46:50,6,16
data/authentic/IMG_5654.jpeg,IMG_5654.jpeg,authentic,none,none,4032,3024,25,1.6,0.0026246719160104987,8.571819010021256,32,5,iPhone 12 Pro Max,Apple,iPhone 12 Pro Max back triple camera 5.1mm f/1.6,2025:09:12 18:36:21,6,16
